
===== Sheet: 典型面积配置 (24x8) =====
序号 | 设备类型 | 设备名称 | 设备功能描述 | 单位 | 300平米配置 | 1000平米配置 | 2000平米配置
1.0 | 边缘引擎 | F200 | 全新的边缘引擎即CFG3.F200,支持3网口与4G 无线上网等功能，内置EMMC 8GB稳定性更高，支持最大点位数不超过3,000点/台 | 台 | 1.0 | 1.0 | 1.0
2.0 |  | NEXIO | 处理器：Quad-core Cortex-A72 (ARM v8) 64-bit 1.5GHz；RAM：4 GB LPDDR4；Flash存储：16GB 8-bit eMMC，支持最大点位数不超过5,000点/台 | 台 | 0.0 | 0.0 | 0.0
3.0 | 软件授权 | FIN Framework点位 | 配置的FIN Framework的最大点位数量 | 点 | 500.0 | 1000.0 | 2000.0
4.0 | 无线协转设备 | 智慧网关 | 易于使用且功能强大的多协议无线协转设备，具备中枢网关能力，集成了 Zigbee 3.0、Thread、Wi-Fi、以太网、Matter、BACnet、KNX、Modbus 等协议的设备接入能力，支持跨协议跨生态联动 | 个 | 1.0 | 1.0 | 1.0
5.0 |  | Zigbee网关 | Zigbee3.0网关，和蓝牙网关，POE供电，具备红外遥控功能，可以添加和管理不同的红外设备的控制。更加便捷的控制插座，灯具，窗帘，空调，风扇等 | 个 | 2.0 | 6.0 | 24.0
6.0 | 智慧屏 | 4寸智慧中控屏 | 智能中控控制面板，可快速将传统墙壁开关升级为触屏三键开关，支持自定义绑定智能设备或场景，实现一键联动 | 个 | 1.0 | 6.0 | 12.0
7.0 |  | 7寸智慧中控屏 | 智能中控控制面板，基于标准单个86盒，实现简易快速替换安装，可快速将传统墙壁开关升级为触屏三键开关，支持自定义绑定智能设备或场景，实现一键联动 | 个 | 0.0 | 1.0 | 4.0
8.0 | 智能照明 | 单键零火版墙壁开关 | 智能墙壁开关可以直接替换传统开关，无需繁杂的布线或更换照明设备，即可实现智能灯光控制 | 个 | 1.0 | 2.0 | 4.0
9.0 |  | 双键零火版墙壁开关 | 智能墙壁开关可以直接替换传统开关，无需繁杂的布线或更换照明设备，即可实现智能灯光控制 | 个 | 3.0 | 12.0 | 26.0
10.0 |  | 三键零火版墙壁开关 | 智能墙壁开关可以直接替换传统开关，无需繁杂的布线或更换照明设备，即可实现智能灯光控制 | 个 | 3.0 | 7.0 | 14.0
11.0 | 智能调光 | 双色温驱动 | 双色温驱动器是一款内置Zigbee模块，支持对LED的亮度、色温调节，以及开关状态的控制。搭配具备网关的功能设备后，可以通过远程控制，设置定时控制，还可以和其他智能设备组合，实现更多联动控制效果 | 个 | 8.0 | 24.0 | 32.0
